college_code,college_name,district,college_type,branch_code,branch_name,oc,bc,bcm,mbc,sc,sca,st,oc_partial,bc_partial,bcm_partial,mbc_partial,sc_partial,sca_partial,st_partial
1,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,CHENNAI,CEG DEPTS,BY,BIO MEDICAL ENGINEERING  (SS),4207,7611,13213,7683,14631,38252,23125,0,0,0,0,0,0,0
1,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,CHENNAI,CEG DEPTS,CE,CIVIL  ENGINEERING,3819,7589,4591,5798,8261,29948,29534,0,0,0,0,0,0,0
1,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,CHENNAI,CEG DEPTS,CM,COMPUTER SCIENCE AND ENGINEERING (SS),203,404,387,500,2792,11507,3121,0,0,0,0,0,0,0
1,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,CHENNAI,CEG DEPTS,CS,COMPUTER SCIENCE AND ENGINEERING,28,140,218,88,840,725,2449,0,0,0,0,0,0,0
1,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,CHENNAI,CEG DEPTS,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,206,375,846,590,1983,9197,,0,0,0,0,0,0,0
1,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,CHENNAI,CEG DEPTS,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,1281,2239,3404,1822,7428,16767,2341,0,0,0,0,0,0,0
1,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,CHENNAI,CEG DEPTS,EL,Electronics Engineering (VLSI Design and Technology) (SS),1649,2303,2859,2477,8750,21598,14705,0,0,0,0,0,0,0
1,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,CHENNAI,CEG DEPTS,EM,ELECTRONICS AND COMMUNICATION ENGINEERING (SS),584,839,,749,4447,16123,,0,0,0,0,0,0,0
1,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,CHENNAI,CEG DEPTS,GI,GEO INFORMATICS,6600,14595,10807,16035,34514,32007,21718,0,0,0,0,0,0,0
1,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,CHENNAI,CEG DEPTS,IE,INDUSTRIAL ENGINEERING,9341,15407,31399,19873,29606,53469,47858,0,0,0,0,0,0,0
1,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,CHENNAI,CEG DEPTS,IM,INFORMATION TECHNOLOGY (SS),585,1115,1191,937,4910,22983,10278,0,0,0,0,0,0,0
