college_code,college_name,district,college_type,branch_code,branch_name,oc,bc,bcm,mbc,sc,sca,st,oc_partial,bc_partial,bcm_partial,mbc_partial,sc_partial,sca_partial,st_partial
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",CHENNAI,CEG DEPTS,BY,BIO MEDICAL ENGINEERING  (SS),1248,1998,2390,1420,8937,22463,26147,0,0,0,0,0,0,0
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",CHENNAI,CEG DEPTS,CE,CIVIL  ENGINEERING,2326,3227,6363,2527,7316,23541,43295,0,0,0,0,0,0,0
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",CHENNAI,CEG DEPTS,CM,COMPUTER SCIENCE AND ENGINEERING (SS),175,260,631,312,2940,3853,5838,0,0,0,0,0,0,0
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",CHENNAI,CEG DEPTS,CS,COMPUTER SCIENCE AND ENGINEERING,29,111,388,67,551,2101,3779,0,0,0,0,0,0,0
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",CHENNAI,CEG DEPTS,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,218,332,789,368,1680,4067,3514,0,0,0,0,0,0,0
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",CHENNAI,CEG DEPTS,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,809,1297,2153,1046,5615,6509,5534,0,0,0,0,0,0,0
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",CHENNAI,CEG DEPTS,EM,ELECTRONICS AND COMMUNICATION ENGINEERING (SS),540,722,853,724,3760,8916,11789,0,0,0,0,0,0,0
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",CHENNAI,CEG DEPTS,GI,GEO INFORMATICS,2648,3961,4374,2693,10811,22902,,0,0,0,0,0,0,0
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",CHENNAI,CEG DEPTS,IE,INDUSTRIAL ENGINEERING,3983,5004,6580,4896,12535,29151,,0,0,0,0,0,0,0
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",CHENNAI,CEG DEPTS,IM,INFORMATION TECHNOLOGY (SS),470,720,1661,856,4894,8754,3569,0,0,0,0,0,0,0
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",CHENNAI,CEG DEPTS,MA,MATERIAL SCIENCE AND ENGINEERING (SS),4125,5897,10642,5806,16965,52089,,0,0,0,0,0,0,0
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",CHENNAI,CEG DEPTS,ME,MECHANICAL ENGINEERING,1493,2398,2896,2293,10380,13573,25853,0,0,0,0,0,0,0
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",CHENNAI,CEG DEPTS,MI,MINING ENGINEERING,6153,10139,9460,11969,19668,44774,,0,0,0,0,0,0,0
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",CHENNAI,CEG DEPTS,MN,MANUFACTURING ENGINEERING,5064,7088,13132,5666,15353,17201,48416,0,0,0,0,0,0,0
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",CHENNAI,CEG DEPTS,PT,PRINTING TECHNOLOGY,7762,11815,16817,11168,20410,36074,,0,0,0,0,0,0,0
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",CHENNAI,CEG DEPTS,XC,CIVIL ENGINEERING (TAMIL MEDIUM),12591,24175,34308,22879,36973,47907,,0,0,0,0,0,0,0
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",CHENNAI,CEG DEPTS,XM,MECHANICAL ENGINEERING (TAMIL MEDIUM),18045,22322,22709,,36264,40564,,0,0,0,0,0,0,0
2,"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai 600 025",CHENNAI,CEG DEPTS,AP,APPAREL TECHNOLOGY (SS),13645,22334,30537,17325,43062,61533,,0,0,0,0,0,0,0
2,"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai 600 025",CHENNAI,CEG DEPTS,CH,CHEMICAL  ENGINEERING,2223,4117,,2494,11931,27624,10991,0,0,0,0,0,0,0
2,"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai 600 025",CHENNAI,CEG DEPTS,CL,CHEMICAL  ENGINEERING (SS),4534,5976,9973,4898,17334,,52866,0,0,0,0,0,0,0
2,"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai 600 025",CHENNAI,CEG DEPTS,CR,CERAMIC TECHNOLOGY (SS),15446,22104,19992,23826,40824,81005,,0,0,0,0,0,0,0
2,"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai 600 025",CHENNAI,CEG DEPTS,FS,FOOD TECHNOLOGY (SS),4535,5880,8418,,17392,23813,,0,0,0,0,0,0,0
2,"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai 600 025",CHENNAI,CEG DEPTS,IB,INDUSTRIAL BIO TECHNOLOGY,1010,2148,3981,,10124,18797,,0,0,0,0,0,0,0
2,"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai 600 025",CHENNAI,CEG DEPTS,IS,INDUSTRIAL BIO TECHNOLOGY (SS),1877,2493,6394,7103,13535,34688,,0,0,0,0,0,0,0
2,"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai 600 025",CHENNAI,CEG DEPTS,LE,LEATHER TECHNOLOGY,16382,22881,23928,25236,32867,36502,77574,0,0,0,0,0,0,0
2,"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai 600 025",CHENNAI,CEG DEPTS,PM,PHARMACEUTICAL TECHNOLOGY (SS),6295,9111,11238,11619,20362,42403,60120,0,0,0,0,0,0,0
2,"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai 600 025",CHENNAI,CEG DEPTS,PP,PETROLEUM ENGINEERING AND TECHNOLOGY (SS),12021,14158,14203,17887,23374,46392,,0,0,0,0,0,0,0
2,"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai 600 025",CHENNAI,CEG DEPTS,TX,TEXTILE TECHNOLOGY,14856,18871,22985,18279,31952,62594,81510,0,0,0,0,0,0,0
4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram Taluk, Chengalpattu District 600 044",CHENGALPET,CEG DEPTS,AE,AERONAUTICAL ENGINEERING,948,1898,2827,1770,7479,12147,,0,0,0,0,0,0,0
4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram Taluk, Chengalpattu District 600 044",CHENGALPET,CEG DEPTS,AU,AUTOMOBILE ENGINEERING,4478,6926,7685,,14098,38061,39708,0,0,0,0,0,0,0
4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram Taluk, Chengalpattu District 600 044",CHENGALPET,CEG DEPTS,CM,COMPUTER SCIENCE AND ENGINEERING (SS),580,709,1669,825,4816,9750,11738,0,0,0,0,0,0,0
4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram Taluk, Chengalpattu District 600 044",CHENGALPET,CEG DEPTS,CS,COMPUTER SCIENCE AND ENGINEERING,362,493,1170,364,3466,2563,,0,0,0,0,0,0,0
