college_code,college_name,district,college_type,branch_code,branch_name,oc,bc,bcm,mbc,sc,sca,st,oc_partial,bc_partial,bcm_partial,mbc_partial,sc_partial,sca_partial,st_partial
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",CHENNAI,CEG DEPTS,BY,BIO MEDICAL ENGINEERING  (SS),2185,4606,3299,5537,12621,22764,3890,0,0,0,0,0,0,0
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",CHENNAI,CEG DEPTS,CE,CIVIL  ENGINEERING,3937,6219,11998,9441,16167,28667,,0,0,0,0,0,0,0
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",CHENNAI,CEG DEPTS,CM,COMPUTER SCIENCE AND ENGINEERING (SS),139,227,709,663,3330,8459,9198,0,0,0,0,0,0,0
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",CHENNAI,CEG DEPTS,CS,COMPUTER SCIENCE AND ENGINEERING,22,102,318,291,1013,1121,,0,0,0,0,0,0,0
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",CHENNAI,CEG DEPTS,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,180,326,829,773,3692,14390,,0,0,0,0,0,0,0
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",CHENNAI,CEG DEPTS,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,1012,1561,3348,2407,8578,18228,,0,0,0,0,0,0,0
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",CHENNAI,CEG DEPTS,EM,ELECTRONICS AND COMMUNICATION ENGINEERING (SS),476,585,2299,1623,6489,,10795,0,0,0,0,0,0,0
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",CHENNAI,CEG DEPTS,GI,GEO INFORMATICS,4669,8176,9880,8842,23803,19509,,0,0,0,0,0,0,0
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",CHENNAI,CEG DEPTS,IE,INDUSTRIAL ENGINEERING,6317,10419,17154,14049,27211,15018,47733,0,0,0,0,0,0,0
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",CHENNAI,CEG DEPTS,IM,INFORMATION TECHNOLOGY (SS),359,559,1182,1706,5635,11014,14024,0,0,0,0,0,0,0
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",CHENNAI,CEG DEPTS,MA,MATERIAL SCIENCE AND ENGINEERING (SS),6271,10588,14321,11249,29963,33578,,0,0,0,0,0,0,0
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",CHENNAI,CEG DEPTS,ME,MECHANICAL ENGINEERING,2408,4554,6047,7655,14245,14787,49450,0,0,0,0,0,0,0
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",CHENNAI,CEG DEPTS,MI,MINING ENGINEERING,8348,17005,17571,20797,28214,50747,95204,0,0,0,0,0,0,0
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",CHENNAI,CEG DEPTS,MN,MANUFACTURING ENGINEERING,8904,13185,12435,17390,24509,56585,,0,0,0,0,0,0,0
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",CHENNAI,CEG DEPTS,PT,PRINTING AND PACKING TECHNOLOGY,12098,22201,12331,22874,32302,81318,,0,0,0,0,0,0,0
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",CHENNAI,CEG DEPTS,XC,CIVIL ENGINEERING (TAMIL MEDIUM),19134,30510,83967,39557,33512,133182,,0,0,0,0,0,0,0
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",CHENNAI,CEG DEPTS,XM,MECHANICAL ENGINEERING (TAMIL MEDIUM),13412,26746,18547,33503,35007,82575,,0,0,0,0,0,0,0
2,"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai 600 025",CHENNAI,CEG DEPTS,AP,APPAREL TECHNOLOGY (SS),35337,65046,64864,53432,54827,43476,,0,0,0,0,0,0,0
2,"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai 600 025",CHENNAI,CEG DEPTS,CH,CHEMICAL  ENGINEERING,3451,7014,21408,12336,19612,20187,48677,0,0,0,0,0,0,0
2,"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai 600 025",CHENNAI,CEG DEPTS,CL,CHEMICAL  ENGINEERING (SS),7626,9079,21617,14131,32692,63561,,0,0,0,0,0,0,0
2,"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai 600 025",CHENNAI,CEG DEPTS,CR,CERAMIC TECHNOLOGY (SS),30197,46508,43472,54084,60278,145950,,0,0,0,0,0,0,0
2,"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai 600 025",CHENNAI,CEG DEPTS,FS,FOOD TECHNOLOGY (SS),7064,11439,8622,13417,34433,36834,42587,0,0,0,0,0,0,0
2,"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai 600 025",CHENNAI,CEG DEPTS,IB,INDUSTRIAL BIO TECHNOLOGY,3737,6199,12365,12588,27348,39427,,0,0,0,0,0,0,0
2,"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai 600 025",CHENNAI,CEG DEPTS,IS,INDUSTRIAL BIO TECHNOLOGY (SS),5024,7961,,15486,30711,,,0,0,0,0,0,0,0
2,"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai 600 025",CHENNAI,CEG DEPTS,LE,LEATHER TECHNOLOGY,34622,47384,38652,48919,61053,75812,,0,0,0,0,0,0,0
2,"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai 600 025",CHENNAI,CEG DEPTS,PM,PHARMACEUTICAL TECHNOLOGY (SS),14379,24216,26234,21449,45135,32301,59329,0,0,0,0,0,0,0
2,"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai 600 025",CHENNAI,CEG DEPTS,PP,PETROLEUM ENGINEERING AND TECHNOLOGY (SS),18082,31401,24171,32820,46885,77352,,0,0,0,0,0,0,0
2,"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai 600 025",CHENNAI,CEG DEPTS,TX,TEXTILE TECHNOLOGY,25625,40645,29108,50953,55458,103325,92551,0,0,0,0,0,0,0
3,"School of Architecture and Planning, Anna University,Chennai 600025",CHENNAI,CEG DEPTS,BP,B.Plan,6388,12635,15821,20696,35180,76252,19121,0,0,0,0,0,0,0
4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram Taluk, Chengalpattu District 600 044",CHENGALPET,CEG DEPTS,AE,AERONAUTICAL ENGINEERING,3080,4736,5490,7868,10932,30744,,0,0,0,0,0,0,0
4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram Taluk, Chengalpattu District 600 044",CHENGALPET,CEG DEPTS,AT,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE (SS),1108,1405,2142,2258,9090,26200,,0,0,0,0,0,0,0
4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram Taluk, Chengalpattu District 600 044",CHENGALPET,CEG DEPTS,AU,AUTOMOBILE ENGINEERING,6099,11606,20594,13393,30858,42114,,0,0,0,0,0,0,0
4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram Taluk, Chengalpattu District 600 044",CHENGALPET,CEG DEPTS,CM,COMPUTER SCIENCE AND ENGINEERING (SS),598,730,1406,1527,6547,17603,,0,0,0,0,0,0,0
4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram Taluk, Chengalpattu District 600 044",CHENGALPET,CEG DEPTS,CS,COMPUTER SCIENCE AND ENGINEERING,350,615,973,1007,4798,14822,,0,0,0,0,0,0,0
4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram Taluk, Chengalpattu District 600 044",CHENGALPET,CEG DEPTS,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,757,1001,2693,1787,7227,23336,23593,0,0,0,0,0,0,0
4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram Taluk, Chengalpattu District 600 044",CHENGALPET,CEG DEPTS,EI,ELECTRONICS AND INSTRUMENTATION ENGINEERING,1708,2331,6152,5044,15909,,31497,0,0,0,0,0,0,0
4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram Taluk, Chengalpattu District 600 044",CHENGALPET,CEG DEPTS,EM,ELECTRONICS AND COMMUNICATION ENGINEERING (SS),1034,1344,2082,2385,9254,20232,12313,0,0,0,0,0,0,0
4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram Taluk, Chengalpattu District 600 044",CHENGALPET,CEG DEPTS,IM,INFORMATION TECHNOLOGY (SS),877,1143,2027,2354,11156,19371,15765,0,0,0,0,0,0,0
4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram Taluk, Chengalpattu District 600 044",CHENGALPET,CEG DEPTS,PR,PRODUCTION ENGINEERING,9437,14519,15208,18488,31714,44052,37548,0,0,0,0,0,0,0
4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram Taluk, Chengalpattu District 600 044",CHENGALPET,CEG DEPTS,RA,ROBOTICS AND AUTOMATION (SS),2103,2746,4769,4584,14413,14429,,0,0,0,0,0,0,0
4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram Taluk, Chengalpattu District 600 044",CHENGALPET,CEG DEPTS,RP,RUBBER AND PLASTIC TECHNOLOGY,18271,33119,21767,35225,54406,54649,64572,0,0,0,0,0,0,0
1516,"Thanthai Periyar Government Institute of Technology, Bagayam, Vellore District 632002",VELLORE,GOVERNMENT ENGG COLLEGES,CE,CIVIL  ENGINEERING,71287,151604,,107162,151268,,,0,1,0,0,0,0,0
1516,"Thanthai Periyar Government Institute of Technology, Bagayam, Vellore District 632002",VELLORE,GOVERNMENT ENGG COLLEGES,CS,COMPUTER SCIENCE AND ENGINEERING,13188,26145,28647,16721,40732,51693,,0,0,0,0,0,0,0
1516,"Thanthai Periyar Government Institute of Technology, Bagayam, Vellore District 632002",VELLORE,GOVERNMENT ENGG COLLEGES,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,25038,39498,92734,43737,70307,101502,47922,0,0,0,0,0,0,0
